SERVICO_OU_PRODUTO,RAZAO_SOCIAL,NOME_FANTASIA,TELEFONE,EMAIL,UF,CIDADE,ENDERECO,CNPJ,SITE,CNAE,PORTIFÓLIO,NOTA
Oficina - (Marketing Digital),3Midias Comunicação e Consultoria LTDA,3MIDIAS,(81) 9 9761 - 2623,empresa@3midias.com.br | patynogueiras@gmail.com,PE,Recife,"Rua Rocha Pita, 156, CP 003, 50040-030 - Santo Amaro",19.393.491/0001-06,-,"70.20-4-00 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",,
Oficina - (Marketing Digital),Grite Soluções Empresariais LTDA,Grite Soluções,(81) 9 9689 - 4297,gabrielchamie@gritesolucoes.com.br,PE,Recife,"Rua Dona Maria Cesar, 170, Sala 0203 - Recife",40.159.625/0001-25,-,-,,
Oficina - (Produção e Gestão Cultural),ELZA CELINA MEDEIROS DO ESPIRITO SANTO 09861680411,PRODUTORA UH IBURA AE,(81) 9 9815 - 5930,equipaiburaae@gmail.com,PE,Recife,"Rua Professor Mario Neves Baptista, Lagoa Encantada, Cohab",48.599.992/0001-41,-,85.92-9-99 - Ensino de arte e cultura não especificado anteriormente,,
Oficina - (Produção e Gestão Cultural),STEPHANY CRISTYNE DE SOUZA SILVA METODIO 09756407476,COLETIVO TEAR,(87) 9 8148 - 0808,stephany_cristyne@hotmail.com,PE,Garanhuns,"Avenida Santa Rosa, 87 - Heliopolis",17.475.457/0001-55,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,10
Oficina - (Produção e Gestão Cultural),Voragem Produções Ilimitadas LTDA,VORAGEM PRODUCOES ILIMITADAS,(81) 99922 - 3777,voragemproducoes@gmail.com,PE,Recife,"Rua da Aurora, n325, apt 1011, caixa postal 545 - Boa Vista",21.064.659/0001-81,-,"59.11-1-99 - Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",,
Recarga de Extintores,Jonas F da S Gadelha LTDA,Extinpel - Extintores de Pernambuco,(81) 9 8802 - 0806 | (81) 3484 - 0357,comercial@extinpelpe.com.br,PE,Recife,"Rua Imperial, 2228, 50.090-000 - São Jose",23.334.029/0001-05,-,46.69-9-99 - Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,Link,
Recarga de Extintores,Claudia Clemente da Silva,PRN Extintores,(81) 3721 - 9194 | (81) 3095 - 0860 | (81) 9 9226 - 3124,prn-extintores@hotmail.com | prnextiontores@hotmail.com,PE,Recife,"Cais do Apolo, 222, Andar 16, 50030-230 - Bairro do Recife",05.903.129/0001-23,-,47.89-0-99 - Comércio varejista de outros produtos não especificados anteriormente,,
Recarga de Extintores,PERNAMBUCO EXTINTORES COMERCIO E SERVICOS LTDA,PE EXTINTORES,(81) 9971-9678/ (81) 9733-0272,LUCIANNAKARINA@BOL.COM.BR,PE,Recife,"R DEMOCRITO CAVALCANTI, 67, 50.750-080 - AFOGADOS",23.435.441/0001-11,-,47.89-0-99 - Comércio varejista de outros produtos não especificados anteriormente,,
Serviço - (Manutenção Laboratório),Adriano L de Medeiros,Pixeldots,(81) 8513 - 2151,adriano@pixeldots.com.br,PE,Caruaru,"Avenida Projetada 01, SN, Sala porto digital, 55014-908 - Nova Caruaru",11.912.411/0001-70,-,85.99-6-03 - Treinamento em informática,,
Serviço - (Manutenção Laboratório),Via Tec Comercio e Servicos de Visuais e Informatica LTDA,Via Tec,(81) 3441 - 6903,viatec2@hotmail.com,PE,Recife,"Rua da Harmonia, 76, 52051-390 - Casa Amarela",01.824.394/0001-65,-,47.53-9-00 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,,
Serviço - (Manutenção Laboratório),PRONET Tecnologia e Engenharia LTDA,Pronet,(81) 3213 - 1795,administração@pronet-pe.com.br,PE,Recife,"Rua Tomazina, 121, Loja 0000, 50.030-020 - Bairro do Recife",01.824.394/0001-65,-,47.53-9-00 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,,
Som e Iluminação,ERISON DE SIQUEIRA BARBOSA 81114850420,PORTO SONORIZACAO,(81) 9989-9069,erissonporto@hotmail.com,PE,Caruaru,"R VICENTE CARVALHO, 44, CASA, 55.010-450 - DIVINOPOLIS","17.105.563.0001-47
",-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,
Som e Iluminação,HEVERTON FAGNER DA SILVA RODRIGUES 05592935420,STUDIO DI FAGNER,(81) 3719-0774,HEVERTONFAGNERSTUDIO@HOTMAIL.COM,PE,Caruaru,"R DO MADEIRO, 99, CASA, 55.028-110 - SANTA ROSA",21.121.020/0001-90,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,
Som e Iluminação,AL SOLUCOES EM TECNOLOGIA E COMUNICACAO LTDA,PIXEL DOTS,(81) 8513-2151,ME@WHATSITE.ME,PE,Caruaru,"AV PROJETADA 01 S/N, KM 92, 55.014-908 - NOVA CARUARU",43.726.856/0001-51,-,62.01-5-02 - Web design,,
Som e Iluminação,-,-,81 7345-9032,-,-,-,-,-,-,-,,
Som e Iluminação,-,-,81 9651-6688,-,-,-,-,-,-,-,,
Som e Iluminação,-,-,81 9201-6567,-,-,-,-,-,-,-,,
Som e Iluminação,-,K9 ,(81) 3719-5399,-,-,-,-,-,-,-,,
Suporte de TI,Andrade Nascimento Consultoria em Tecnologia LTDA,Mustache T.I,(81) 9 9679 - 3669,lucas@mustacheti.com.br,PE,Bezerros,"Rua Augusta, 43, 55660-000 - Centro",39.675.172/0001-09,-,62.04-0-00 - Consultoria em tecnologia da informação,,
Suporte de TI,Pedro Henrique de Oliveira Cavalcante,PHOC Tecnologia,(81) 9 9742 - 2932,pedro@phoctecnologia.com.br,PE,Recife,"Rua Abelardo, 45, 52050-310 - Graças",31.812.425/0001-29,-,95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos,,
Suporte de TI,Lanilson D.Oliveira LTDA,BOXDESK,(81) 4062 9596 | (81) 9 9790 - 6461,lanilson@boxdesk.com.br,PE,Recife,"Rua Vigário Tenório, 105, Sala 0104, 50030-010 - Bairro do Recife",12.558.142/0001-58,-,"62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação",,
Treinamento Brigada de Incendio,ACADEMIA DE TREINAMENTO DE BOMBEIRO CIVIL EIRELI,APEBC BRASIL,-,-,PE,Recife,"AV CONDE DA BOA VISTA, 700, ANDAR 3, 50.060-004 - BOA VISTA",23.894.383/0001-94,-,78.10-8-00 - Seleção e agenciamento de mão-de-obra,,
Treinamento Brigada de Incendio,GT FIRE PROJETOS CONSULTORIA E TREINAMENTO LTDA,GT FIRE PROJETOS CONSULTORIA E TREINAMENTO,(81) 8804-7833,GTFIREPROCONSULT@GMAIL.COM,PE,Recife,"AV GOVERNADOR AGAMENON MAGALHAES, 2936, SALA 0706 EDF SOBRADO EMP CXPST 58, 52.020-000 - ESPINHEIRO",26.724.141/0001-40,-,43.22-3-03 - Instalações de sistema de prevenção contra incêndio,,
Treinamento Brigada de Incendio,J A GUERRA NERY EXTINTORES,NORDESTE EXTINTORES,-,-,-,-,-,17.401.705.0001/13,-,-,,
Treinamento Costureiras ,VIRGINIA CONCEICAO VASCONCELOS CARNEIRO 06381617462,INTERSER CURSOS E TREINAMENTOS,(81) 9209-3637,virginiavlins@gmail.com,PE,Santa Cruz do Capibaribe,"R MARIA EULALIA BARBOSA LIRA (LOT D LICA), 413, 55.192-648, DONA DOM
",24.367.056/0001-47,-,"85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial
",,
Treinameto - (Participação em processos seletivos),CATIA M S MACIEL,INSER GESTÃO,(81) 9242-9640,ATENDIMENTO@CATIAMACIEL.COM.BR,PE,Caruaru,"AV VIGILANTE RODOVIARIO, 130, 55.014-553 - NOVA CARUARU",07.162.200/0001-90,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Treinameto - (Participação em processos seletivos),FABIANA CASSIA SOARES DE SOUZA 61492655449,AUDITARH,(81) 3114-7174,fabiana.soares2308@hotmail.com,PE,Recife,"R CONDE DE IRAJA, 301, APT 1002, 50.710-310 - TORRE",26.332.698/0001-36,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
"Workshop - (Tecnologia, programação e design para meninas e mulheres)",MILENA DE ALMEIDA SANTOS 70215955498,MILENA DE ALMEIDA SANTOS,(81) 9862-6532,milenaalmeida_@hotmail.com,PE,Recife,"R ENGENHEIRO VASCONCELOS BITTENCOURT,461,ANDAR 302,50.740-180
,VARZEA",46.335.831/0001-15,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Transporte (Vans),-,Caruaru Vans,(81) 3738-1472,somavirtual@hotmail.com,PE,-,-,-,-,-,,
Transporte (Vans),-,HENDRICKSON SANTOS LIMA – ME,(81) 3727-5658,caruaruvans@hotmail.com,PE,Caruaru,-,-,-,-,,
Transporte (Vans),-,Recife Vans,(81) 3338.7432 / 3455.3755,comercial@vansrecife.com.br,PE,Recife,-,-,-,-,,
Transporte (Vans),-,Grupo Coletivo,81 98253-5040 | 81 3721-0505,coletivos@coletivos.com.br,PE,-,-,-,-,-,,
